name,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
202,587741722825457876,199.30073773,27.47218313,5115,40,5,176,STAR,23.752523,23.299212,21.297649,20.122505,19.956528
203,587734621638295567,146.56153632,39.77021718,3462,40,2,243,STAR,19.079334,19.044483,18.90344,18.713554,18.50124
204,588015509287075913,40.48813285,0.11765685,3325,41,4,378,STAR,18.999914,18.689585,18.540071,18.297249,18.388969
205,587738946669641854,145.64363811,32.34324596,4469,40,2,232,STAR,19.577166,19.383764,19.105448,18.971642,18.914366
206,587735662085472313,148.38718719,36.43131225,3704,40,4,111,STAR,19.774143,19.205812,19.110083,19.011854,18.738802
207,587739407319695482,186.8302906,35.14420643,4576,40,4,458,STAR,20.327347,20.160477,19.811293,19.794846,19.852047
208,587741721746931800,186.90417428,27.36784727,5115,40,3,103,STAR,21.658909,19.723871,19.343958,19.255037,19.293232
209,587741489827479733,149.57395822,24.92093861,5061,40,3,237,STAR,24.871357,22.020632,20.187241,19.874638,19.880445
210,587742863672475829,172.27015427,16.641212,5381,40,2,120,STAR,19.588442,19.334278,19.139122,18.828648,18.770908
211,587731512077910253,39.4111538,-0.55864887,2738,40,2,181,STAR,20.61945,20.626633,20.60318,20.212929,20.067617
212,587733441048346770,237.64483734,43.06785032,3187,40,3,78,STAR,18.822855,19.054945,18.666136,18.628761,18.748875
213,588295840436977768,156.66123166,45.10470625,3059,42,1,22,GALAXY,20.076168,19.511267,18.527979,18.089087,17.680132
214,588017111830823019,177.37150354,47.74141969,3698,41,5,135,STAR,18.780849,18.491751,18.525108,18.451845,18.483562
215,587729752204312667,244.64021514,44.4338502,2328,40,4,17,STAR,19.454437,19.324762,19.142748,19.013271,19.179882
216,587729387148410942,164.29919276,58.3308527,2243,40,4,266,STAR,19.909796,19.739449,19.685381,19.603632,19.6919
217,587732053785509955,146.39712317,45.51732041,2864,40,3,255,STAR,20.411236,20.303558,20.006212,19.985451,19.995615
218,587726014544609679,208.75544419,1.84662443,1458,40,2,560,GALAXY,21.626026,21.137873,20.587736,19.96356,19.534597
219,587732703411372056,180.01292957,8.12394362,3015,40,5,439,STAR,18.823412,18.731411,18.541414,18.51483,18.179838
220,587731872849854951,121.40747281,34.26739591,2822,40,2,100,STAR,23.525833,21.436489,19.941862,19.70266,19.656422
221,587739814241042486,235.61134414,21.42640014,4671,40,2,49,STAR,18.749743,18.633987,18.414299,18.385336,18.442215
222,587739407878258966,241.81094395,21.60063031,4576,40,5,789,STAR,20.301964,20.156864,19.725132,19.61231,19.410856
223,587744727687757827,139.22932655,15.51502104,5815,40,2,112,STAR,19.167828,18.846048,18.538481,18.470638,18.449396
224,587734892211732522,169.59673556,9.08470522,3525,40,2,98,STAR,19.164141,19.06304,18.913057,18.939173,19.028086
225,588298664653946924,206.70496746,46.65259307,3716,42,6,137,STAR,18.81476,18.427908,18.359062,18.306293,18.100645
226,587739719775748374,246.4695213,14.69329755,4649,40,2,415,STAR,20.779066,20.473326,20.395182,20.250698,20.006918
227,587730772816494733,3.56384303,13.74479503,2566,40,1,331,STAR,19.293674,19.123764,18.979919,18.969362,18.869543
228,587725551727542686,112.68788971,36.57527067,1350,40,4,36,STAR,19.928896,19.056263,18.36454,18.230524,18.013672
229,587740556731809992,23.91264179,22.91275032,4844,40,1,23,STAR,20.588852,19.693796,19.31571,19.17049,19.111992
230,587735241178939403,140.75178138,35.96947221,3606,40,4,115,STAR,18.744579,18.530861,18.344933,18.281719,18.097666
